2025-01-17 06:40:22,700 INFO    MainThread:303106 [wandb_setup.py:_flush():68] Current SDK version is 0.19.2
2025-01-17 06:40:22,701 INFO    MainThread:303106 [wandb_setup.py:_flush():68] Configure stats pid to 303106
2025-01-17 06:40:22,701 INFO    MainThread:303106 [wandb_setup.py:_flush():68] Loading settings from /home/Talen/.config/wandb/settings
2025-01-17 06:40:22,701 INFO    MainThread:303106 [wandb_setup.py:_flush():68] Loading settings from /home/Talen/foragefish_classifier/wandb/settings
2025-01-17 06:40:22,701 INFO    MainThread:303106 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-01-17 06:40:22,701 INFO    MainThread:303106 [wandb_init.py:_log_setup():523] Logging user logs to /home/Talen/foragefish_classifier/wandb/run-20250117_064022-0xnqn65c/logs/debug.log
2025-01-17 06:40:22,701 INFO    MainThread:303106 [wandb_init.py:_log_setup():524] Logging internal logs to /home/Talen/foragefish_classifier/wandb/run-20250117_064022-0xnqn65c/logs/debug-internal.log
2025-01-17 06:40:22,701 INFO    MainThread:303106 [wandb_init.py:init():641] calling init triggers
2025-01-17 06:40:22,701 INFO    MainThread:303106 [wandb_init.py:init():647] wandb.init called with sweep_config: {}
config: {'seed': 32678456782, 'device': 'cuda', 'num_workers': 4, 'data_root': '/mnt/class_data/group4/talen/', 'num_classes': 2, 'image_size': [224, 224], 'num_epochs': 100, 'batch_size': 128, 'learning_rate': 0.0005, 'weight_decay': 0.0001}
2025-01-17 06:40:22,701 INFO    MainThread:303106 [wandb_init.py:init():674] starting backend
2025-01-17 06:40:22,945 INFO    MainThread:303106 [wandb_init.py:init():678] sending inform_init request
2025-01-17 06:40:22,986 INFO    MainThread:303106 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-01-17 06:40:22,987 INFO    MainThread:303106 [wandb_init.py:init():693] backend started and connected
2025-01-17 06:40:22,990 INFO    MainThread:303106 [wandb_init.py:init():786] updated telemetry
2025-01-17 06:40:23,026 INFO    MainThread:303106 [wandb_init.py:init():818] communicating run to backend with 90.0 second timeout
2025-01-17 06:40:23,219 INFO    MainThread:303106 [wandb_init.py:init():868] starting run threads in backend
2025-01-17 06:40:23,340 INFO    MainThread:303106 [wandb_run.py:_console_start():2415] atexit reg
2025-01-17 06:40:23,340 INFO    MainThread:303106 [wandb_run.py:_redirect():2265] redirect: wrap_raw
2025-01-17 06:40:23,340 INFO    MainThread:303106 [wandb_run.py:_redirect():2330] Wrapping output streams.
2025-01-17 06:40:23,340 INFO    MainThread:303106 [wandb_run.py:_redirect():2355] Redirects installed.
2025-01-17 06:40:23,342 INFO    MainThread:303106 [wandb_init.py:init():910] run started, returning control to user process
2025-01-17 08:46:49,883 INFO    MainThread:303106 [wandb_run.py:_finish():2140] finishing run rimmertalen-university-of-victoria-graduate-students-society/cv4e_test/0xnqn65c
2025-01-17 08:46:49,883 INFO    MainThread:303106 [wandb_run.py:_atexit_cleanup():2380] got exitcode: 0
2025-01-17 08:46:49,883 INFO    MainThread:303106 [wandb_run.py:_restore():2362] restore
2025-01-17 08:46:49,883 INFO    MainThread:303106 [wandb_run.py:_restore():2368] restore done
2025-01-17 08:46:51,394 INFO    MainThread:303106 [wandb_run.py:_footer_history_summary_info():3984] rendering history
2025-01-17 08:46:51,394 INFO    MainThread:303106 [wandb_run.py:_footer_history_summary_info():4016] rendering summary
2025-01-17 08:46:51,399 INFO    MainThread:303106 [wandb_run.py:_footer_sync_info():3945] logging synced files
